,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,Date_recup,Complications,pays
8941,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,1997,SATISFAISANT,FEMME,5030.0,55,31,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-18,1,FRANCE
8943,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,1986,SATISFAISANT,FEMME,4499.0,40,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ITALIE
8944,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,INCONNUE,1991,SATISFAISANT,FEMME,9850.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ITALIE
8947,FREDERIQUE_CONSTANT,CLASSICS_DELIGHT,AUTOMATIQUE,ACIER,ACIER,2023,NEUF,FEMME,1000.0,42,33,3.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-18,0,ITALIE
8948,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,1998,SATISFAISANT,FEMME,4855.0,40,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,PAYS-BAS
8949,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,INCONNUE,1990,SATISFAISANT,FEMME,12955.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,GRANDE-BRETAGNE
8950,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,INCONNUE,1965,SATISFAISANT,FEMME,5300.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,ESPAGNE
8951,ROLEX,DATEJUST_31,AUTOMATIQUE,OR_ACIER,OR_ACIER,2023,NEUF,FEMME,19069.0,55,31,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,GRANDE-BRETAGNE
8952,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,INCONNUE,1958,SATISFAISANT,FEMME,5431.0,42,26,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,SINGAPOUR
8955,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,OR_ACIER,2023,NEUF,FEMME,17643.0,55,28,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-18,1,GRANDE-BRETAGNE
8956,ROLEX,DATEJUST_31,AUTOMATIQUE,ACIER,ACIER,2022,SATISFAISANT,FEMME,11794.0,55,31,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-18,1,ÉTATS-UNIS
