,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,Date_recup,Complications,pays
881,TUDOR,BLACK_BAY,AUTOMATIQUE,ACIER,ACIER,2022,NEUF,HOMME/UNISEXE,3500.0,70,39,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,BELGIQUE
882,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,2024,NEUF,HOMME/UNISEXE,17900.0,70,41,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,2024-04-17,0,FRANCE
883,ROLEX,SUBMARINER_(NO,AUTOMATIQUE,ACIER,ACIER,2020,NEUF,HOMME/UNISEXE,12500.0,48,40,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,2024-04-17,0,FRANCE
884,CARTIER,TANK,QUARTZ,ARGENT,CUIR,1990,NEUF,HOMME/UNISEXE,4000.0,0,25,0.0,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ARGENT,2024-04-17,1,FRANCE
885,OMEGA,SEAMASTER_AQUA,QUARTZ,ACIER,ACIER,2010,NEUF,HOMME/UNISEXE,2250.0,0,39,15.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
886,OMEGA,SEAMASTER,QUARTZ,OR_ACIER,OR_ACIER,1995,NEUF,HOMME/UNISEXE,1250.0,0,37,20.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,ALLEMAGNE
890,ROLEX,OYSTER_PERPETUAL,AUTOMATIQUE,ACIER,ACIER,2019,NEUF,HOMME/UNISEXE,7900.0,48,39,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,3,FRANCE
892,ROLEX,EXPLORER_II,AUTOMATIQUE,ACIER,ACIER,1999,SATISFAISANT,HOMME/UNISEXE,7400.0,50,40,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,2,FRANCE
893,ROLEX,DATEJUST_36,AUTOMATIQUE,OR_ACIER,OR_ACIER,1976,NEUF,HOMME/UNISEXE,6000.0,42,36,10.0,INDETERMINE,SAPHIR,PLIS,OR_JAUNE,2024-04-17,1,FRANCE
895,ROLEX,MILGAUSS,AUTOMATIQUE,ACIER,ACIER,2011,NEUF,HOMME/UNISEXE,8300.0,48,40,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,0,FRANCE
896,ROLEX,GMT-MASTER,AUTOMATIQUE,ACIER,ACIER,1978,NEUF,HOMME/UNISEXE,12990.0,48,40,10.0,ACIER,INCONNUE,PLIS,ACIER,2024-04-17,2,FRANCE
897,OMEGA,SEAMASTER_AQUA,AUTOMATIQUE,ACIER,ACIER,2021,NEUF,HOMME/UNISEXE,4290.0,60,41,15.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,1,FRANCE
898,SEIKO,CHRONOGRAPH,AUTOMATIQUE,ACIER,ACIER,1972,SATISFAISANT,HOMME/UNISEXE,480.0,45,44,0.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,3,FRANCE
899,ROLEX,GMT-MASTER,AUTOMATIQUE,ACIER,ACIER,1989,SATISFAISANT,HOMME/UNISEXE,12500.0,48,40,10.0,ACIER,SAPHIR,PLIS,ACIER,2024-04-17,2,FRANCE
