,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,pays
38826,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,1998.0,Bon,FEMME,6540.0,40.0,26.0,10.0,OR,SAPHIR,PLIS,OR,SAINT-MARIN
38827,PATEK-PHILIPPE,CALATRAVA,AUTOMATIQUE,OR_ROSE,,2003.0,Bon,FEMME,8599.0,44.0,28.0,3.0,OR,SAPHIR,BOUCLE_ARDILLON,OR,ALLEMAGNE
38830,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,2009.0,Bon,FEMME,4590.0,48.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ALLEMAGNE
38831,RADO,DIAMASTER,AUTOMATIQUE,ACIER,ACIER,2022.0,État non spécifié,FEMME,1654.0,,33.0,5.0,,SAPHIR,DOUBLE_PLIS,ACIER,ALLEMAGNE
38833,ROLEX,OYSTER-PERPETUAL,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4382.0,42.0,26.0,10.0,OR,PLEXIGLAS,PLIS,OR,DANEMARK
38836,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,2019.0,Bon,FEMME,23514.0,48.0,28.0,10.0,OR,SAPHIR,PLIS,OR,POLOGNE
38841,FREDERIQUE-CONSTANT,LADIES-AUTOMATIC-DOUBLE-HEART-BEAT,AUTOMATIQUE,ACIER,ACIER,2021.0,Satisfaisant,,1723.0,38.0,,50.0,,SAPHIR,DOUBLE_PLIS,ACIER,SUÈDE
38842,OMEGA,DE-VILLE-LADYMATIC,AUTOMATIQUE,OR_ROSE,,2013.0,Bon,FEMME,9125.0,50.0,34.0,10.0,OR,SAPHIR,PLIS,OR,AUTRICHE
38843,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_JAUNE,OR,,Bon,FEMME,29995.0,55.0,31.0,10.0,OR,SAPHIR,PLIS,OR,ALLEMAGNE
38845,TISSOT,SEASTAR,AUTOMATIQUE,ACIER,ACIER,1970.0,Satisfaisant,FEMME,275.0,40.0,25.0,5.0,ACIER,PLEXIGLAS,DOUBLE_PLIS,ACIER,PAYS-BAS
38850,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,1995.0,Bon,FEMME,4469.0,40.0,26.0,10.0,OR,SAPHIR,PLIS,OR,ALLEMAGNE
38851,LONGINES,EVIDENZA,AUTOMATIQUE,ACIER,ACIER,2024.0,État non spécifié,FEMME,1880.0,45.0,26.0,3.0,ACIER,SAPHIR,PLIS,ACIER,ESPAGNE
38856,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,2006.0,Bon,FEMME,12500.0,48.0,31.0,10.0,OR,SAPHIR,PLIS,OR,ITALIE
38858,ROLEX,PEARLMASTER,AUTOMATIQUE,OR_JAUNE,OR,2001.0,Bon,FEMME,13500.0,48.0,29.0,10.0,OR,SAPHIR,PLIS,OR,ESPAGNE
38860,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,1996.0,Bon,FEMME,7580.0,55.0,31.0,5.0,OR,SAPHIR,PLIS,OR,ITALIE
38861,AUDEMARS-PIGUET,ROYAL-OAK-OFFSHORE-LADY,AUTOMATIQUE,ACIER,CAOUTCHOUC,,Bon,FEMME,33500.0,40.0,37.0,5.0,ACIER,SAPHIR,PLIS,ACIER,RÉPUBLIQUE_TCHEQUE
38863,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_BLANC,OR,2005.0,Bon,FEMME,12990.0,48.0,31.0,10.0,OR,SAPHIR,PLIS,OR,ALLEMAGNE
38864,CHOPARD,MILLE-MIGLIA,AUTOMATIQUE,ACIER,CAOUTCHOUC,2015.0,Bon,FEMME,6999.0,60.0,42.0,5.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,ALLEMAGNE
38865,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,2490.0,40.0,26.0,10.0,OR,PLEXIGLAS,PLIS,OR,ITALIE
38866,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_JAUNE,OR,,Bon,FEMME,54266.0,55.0,34.0,10.0,OR,SAPHIR,PLIS,OR,DANEMARK
38869,TAG-HEUER,AQUARACER-LADY,AUTOMATIQUE,ACIER,ACIER,2024.0,État non spécifié,FEMME,2773.0,38.0,36.0,30.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,ALLEMAGNE
38871,TUDOR,ROYAL,AUTOMATIQUE,ACIER,ACIER,2024.0,Bon,FEMME,2290.0,38.0,41.0,10.0,OR,SAPHIR,PLIS,OR,LUXEMBOURG
38872,OMEGA,CONSTELLATION,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,11789.0,50.0,29.0,50.0,OR,SAPHIR,PLIS,OR,ITALIE
38875,OMEGA,DE-VILLE-PRESTIGE,AUTOMATIQUE,ACIER,CUIR,,Bon,FEMME,2500.0,,32.0,,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,GRÈCE
38876,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,ACIER,ACIER,1996.0,Bon,FEMME,4200.0,42.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,ITALIE
