,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,comptage_fonctions,pays
2420,OMEGA,SEAMASTER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,998.0,42.0,33.0,,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
2422,ROLEX,DATEJUST-41,AUTOMATIQUE,OR_ROSE,ACIER,,Bon,HOMME,13900.0,70.0,41.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
2423,ROLEX,OYSTER-PERPETUAL-36,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,12700.0,70.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,BELGIQUE
2424,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,6500.0,42.0,35.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,ITALIE
2425,ROLEX,DATEJUST-36,AUTOMATIQUE,OR_ROSE,ACIER,,Bon,HOMME,7000.0,40.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,BELGIQUE
2426,OMEGA,SPEEDMASTER-PROFESSIONAL-MOONWATCH,MANUEL,ACIER,CUIR,,Bon,HOMME,5250.0,48.0,39.0,5.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2,FRANCE
2429,ROLEX,DAY-DATE-36,AUTOMATIQUE,OR_JAUNE,,,Bon,HOMME,23027.0,48.0,36.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
2430,ROLEX,EXPLORER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,7700.0,50.0,40.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,BELGIQUE
2431,ROLEX,EXPLORER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,6500.0,42.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,ITALIE
2433,ROLEX,OYSTER-PERPETUAL-41,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,13990.0,70.0,41.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,0,FRANCE
2434,TUDOR,PELAGOS,AUTOMATIQUE,TITANE,TITANE,,Bon,HOMME,4200.0,70.0,42.0,50.0,TITANE,SAPHIR,PLIS,TITANE,1,FRANCE
2435,VULCAIN,AVIATOR,MANUEL,ACIER,CUIR,,Neuf,HOMME,2600.0,,42.0,,ACIER,,,ACIER,0,FRANCE
2436,ROLEX,YACHT-MASTER-II,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,17131.0,72.0,44.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,0,ÉTATS-UNIS
2437,ROLEX,DAYTONA,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,HOMME,24500.0,72.0,40.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
2438,OMEGA,SPEEDMASTER,AUTOMATIQUE,ACIER,VACHE,,Bon,HOMME,5450.0,60.0,44.0,,ACIER,SAPHIR,PLIS,ACIER,2,ALLEMAGNE
2439,IWC,PORTOFINO-CHRONOGRAPH,AUTOMATIQUE,ACIER,,,Neuf,HOMME,5650.0,44.0,42.0,3.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2,BELGIQUE
2441,OMEGA,SPEEDMASTER-PROFESSIONAL-MOONWATCH,MANUEL,ACIER,ACIER,,Neuf,HOMME,10500.0,50.0,42.0,5.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
2442,ROLEX,DATEJUST-41,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,12989.0,70.0,41.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
