,marque,modele,mouvement,matiere_boitier,matiere_bracelet,annee_prod,etat,sexe,prix,reserve_de_marche,diametre,etencheite,matiere_lunette,matiere_verre,boucle,matiere_boucle,comptage_fonctions,pays
23731,CHANEL,J12,AUTOMATIQUE,CÉRAMIQUE,CÉRAMIQUE,,Bon,FEMME,2834.0,42.0,38.0,20.0,CÉRAMIQUE,SAPHIR,DOUBLE_PLIS,ACIER,1,ALLEMAGNE
23732,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,4371.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,JAPON
23733,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,7090.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,ITALIE
23734,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4892.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23736,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,6522.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,ÉTATS-UNIS
23737,PATEK-PHILIPPE,PERPETUAL-CALENDAR,AUTOMATIQUE,OR_BLANC,,,Neuf,FEMME,60000.0,48.0,35.0,3.0,,SAPHIR,BOUCLE_ARDILLON,OR,1,ITALIE
23738,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4850.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,PAYS-BAS
23739,BREITLING,NAVITIMER,AUTOMATIQUE,ACIER,ACIER,,Bon,HOMME,3695.0,38.0,35.0,3.0,ACIER,SAPHIR,PLIS,ACIER,2,PAYS-BAS
23740,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3900.0,42.0,24.0,,,SAPHIR,PLIS,OR,0,ITALIE
23741,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4811.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,SUISSE
23742,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,6387.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,POLOGNE
23743,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,10153.0,55.0,28.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23746,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,6900.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23747,TUDOR,GLAMOUR-DATE,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,6500.0,38.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
23748,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,6800.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,RÉPUBLIQUE_TCHEQUE
23749,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4395.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,PAYS-BAS
23751,ROLEX,OYSTER-PERPETUAL,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3317.0,42.0,26.0,2.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
23753,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3900.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23754,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4219.0,42.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,2,AUSTRALIE
23755,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,18371.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23757,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3332.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23758,OMEGA,SEAMASTER-PLANET-OCEAN,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3150.0,50.0,37.0,60.0,ACIER,SAPHIR,PLIS,ACIER,1,ALLEMAGNE
23759,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,11647.0,55.0,28.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23760,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3600.0,42.0,24.0,3.0,ACIER,SAPHIR,PLIS,ACIER,0,ITALIE
23761,AUDEMARS-PIGUET,ROYAL-OAK-SELFWINDING,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,32900.0,50.0,34.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
23762,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Neuf,FEMME,12669.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,1,TURQUIE
23763,CARTIER,BALLON-BLEU-33MM,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3079.0,38.0,33.0,3.0,ACIER,SAPHIR,PLIS,ACIER,0,AUSTRALIE
23764,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_JAUNE,ACIER,,Bon,FEMME,6988.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23765,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,6850.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,3,ALLEMAGNE
23766,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4399.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23767,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,14565.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,EMIRAT_ARABE_UNIS
23768,TUDOR,ROYAL,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,1281.0,38.0,28.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,CHINE
23769,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,5450.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,PAYS-BAS
23771,CARTIER,TANK-VERMEIL,MANUEL,ARGENT,CUIR,,Bon,FEMME,1838.0,44.0,20.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ARGENT,0,JAPON
23772,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,5077.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23773,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,7200.0,48.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23774,ROLEX,OYSTER-PERPETUAL-34,AUTOMATIQUE,OR_JAUNE,,,Satisfaisant,FEMME,7795.0,48.0,34.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
23775,TUDOR,CLAIR-DE-ROSE,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,1877.0,,34.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,ÉTATS-UNIS
23776,CARTIER,SANTOS-GALBÉE,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4250.0,42.0,24.0,3.0,,SAPHIR,PLIS,OR,1,BELGIQUE
23777,GLASHÜTTE-ORIGINAL,LADY-SERENADE,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4290.0,40.0,36.0,5.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,ALLEMAGNE
23779,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4218.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23782,CARTIER,SANTOS-GALBÉE,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4800.0,42.0,24.0,3.0,ACIER,SAPHIR,PLIS,ACIER,1,ÉTATS-UNIS
23783,BLANCPAIN,VILLERET,AUTOMATIQUE,OR_JAUNE,,,Satisfaisant,FEMME,2990.0,,26.0,3.0,,SAPHIR,BOUCLE_ARDILLON,OR,1,ALLEMAGNE
23785,TISSOT,COUTURIER,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,340.0,45.0,32.0,10.0,,SAPHIR,PLIS,ACIER,0,FRANCE
23786,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,4249.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,SUISSE
23787,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,7161.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23788,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,10792.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23789,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4200.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23790,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,4465.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23791,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,1685.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,HONG_KONG
23792,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4240.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23794,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,12341.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23795,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,6300.0,48.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,BELGIQUE
23796,CARTIER,TANK,MANUEL,ARGENT,CUIR,,Bon,HOMME,2700.0,40.0,23.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ACIER,0,FRANCE
23797,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3100.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23798,CARTIER,SANTOS,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3100.0,42.0,24.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,FRANCE
23799,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,9258.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,ROYAUME-UNI
23800,HUBLOT,SPIRIT-OF-BIG-BANG,AUTOMATIQUE,CÉRAMIQUE,,,Bon,FEMME,9950.0,50.0,39.0,10.0,,SAPHIR,PLIS,OR,1,PAYS-BAS
23801,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,5851.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,AUSTRALIE
23802,ROLEX,OYSTER-PERPETUAL-26,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3595.0,48.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,SUISSE
23803,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4135.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,JAPON
23806,CARTIER,SANTOS,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3200.0,42.0,25.0,3.0,,SAPHIR,PLIS,OR,2,ESPAGNE
23807,ROLEX,DATEJUST-36,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,12200.0,70.0,36.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23808,FREDERIQUE-CONSTANT,MANUFACTURE-SLIMLINE-MOONPHASE,AUTOMATIQUE,ACIER,,,Bon,HOMME,2500.0,42.0,42.0,3.0,,SAPHIR,PLIS,ACIER,1,FRANCE
23810,LONGINES,MASTER-COLLECTION,AUTOMATIQUE,ACIER,ACIER,,Neuf,FEMME,1615.0,54.0,34.0,3.0,ACIER,SAPHIR,PLIS,ACIER,1,ITALIE
23811,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,7250.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,3,PAYS-BAS
23812,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4599.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23813,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ROSE,ACIER,,Bon,FEMME,9909.0,55.0,28.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,ROYAUME-UNI
23814,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3800.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23816,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,10094.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,ROYAUME-UNI
23817,ROLEX,OYSTER-PERPETUAL,AUTOMATIQUE,ACIER,ACIER,,Satisfaisant,FEMME,,42.0,25.0,2.0,ACIER,SAPHIR,PLIS,ACIER,0,JAPON
23818,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,2700.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23819,ROLEX,OYSTER-PERPETUAL-26,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3002.0,42.0,26.0,10.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,2,JAPON
23820,OMEGA,GENÈVE,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,400.0,50.0,24.0,,ACIER,,BOUCLE_ARDILLON,ACIER,0,FRANCE
23822,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,6749.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23823,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,14663.0,55.0,28.0,10.0,,SAPHIR,PLIS,OR,1,SUISSE
23824,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,9550.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23825,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Neuf,FEMME,8295.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23826,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4370.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23827,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,6699.0,42.0,31.0,5.0,,SAPHIR,PLIS,OR,1,LITUANIE
23828,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,6982.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23829,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,5670.0,48.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23831,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4531.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,JAPON
23832,TAG-HEUER,AQUARACER-LADY,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3200.0,38.0,36.0,10.0,CÉRAMIQUE,SAPHIR,PLIS,CÉRAMIQUE,1,ALLEMAGNE
23833,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,CUIR,,Bon,FEMME,5913.0,48.0,26.0,10.0,,SAPHIR,BOUCLE_ARDILLON,OR,1,ROYAUME-UNI
23835,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,5250.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,PAYS-BAS
23837,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,6300.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23838,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Satisfaisant,FEMME,4772.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23839,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,6599.0,42.0,26.0,10.0,,SAPHIR,BOUCLE_ARDILLON,OR,1,ITALIE
23840,ROLEX,OYSTER-PERPETUAL,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,2234.0,42.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,JAPON
23841,TUDOR,BLACK-BAY-32,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,2055.0,38.0,32.0,15.0,ACIER,SAPHIR,PLIS,ACIER,0,ÉTATS-UNIS
23843,CARTIER,SANTOS-100,AUTOMATIQUE,ACIER,CUIR,,Bon,FEMME,4223.0,42.0,33.0,10.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,0,AFRIQUE_DU_SUD
23844,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,5800.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23846,TAG-HEUER,CARRERA-LADY,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,2890.0,56.0,36.0,5.0,ACIER,SAPHIR,PLIS,ACIER,1,ALLEMAGNE
23847,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,État non spécifié,FEMME,12500.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23848,LONGINES,ELEGANT,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,1699.0,40.0,29.0,3.0,ACIER,SAPHIR,PLIS,ACIER,1,ALLEMAGNE
23849,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,ACIER,,Bon,FEMME,11999.0,55.0,28.0,10.0,,SAPHIR,PLIS,OR,1,BELGIQUE
23850,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,5400.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23852,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,12500.0,48.0,31.0,10.0,,SAPHIR,PLIS,OR,1,BELGIQUE
23853,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,9500.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23854,SEIKO,ARCTURA,AUTOMATIQUE,ACIER,CAOUTCHOUC,,Neuf,FEMME,299.0,,34.0,5.0,ACIER,MINÉRAL,BOUCLE_ARDILLON,ACIER,1,PAYS-BAS
23856,BULGARI,LUCEA,AUTOMATIQUE,OR_ROSE,,,État non spécifié,FEMME,13139.0,38.0,33.0,5.0,,SAPHIR,BOUCLE_ARDILLON,OR,1,ÉTATS-UNIS
23858,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3690.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23859,ROLEX,DATEJUST-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,11348.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23860,TUDOR,PRINCE-OYSTERDATE,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,2300.0,38.0,25.0,2.0,,SAPHIR,PLIS,OR,1,ITALIE
23861,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,ACIER,,Bon,FEMME,4190.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23862,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3900.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,BELGIQUE
23864,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,8970.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,DANEMARK
23866,ROLEX,OYSTER-PERPETUAL-31,AUTOMATIQUE,ACIER,ACIER,,État non spécifié,FEMME,6470.0,55.0,31.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,MALAISIE
23867,TUDOR,1926,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,1096.0,38.0,28.0,10.0,,SAPHIR,,ACIER,1,SINGAPOUR
23868,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,5913.0,42.0,26.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,ROYAUME-UNI
23869,ROLEX,YACHT-MASTER,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,5157.0,48.0,29.0,10.0,PLATINE,SAPHIR,PLIS,PLATINE,1,ÉTATS-UNIS
23871,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,7900.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23872,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4995.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,PAYS-BAS
23873,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,6928.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ROYAUME-UNI
23874,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,4900.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,FRANCE
23875,BREITLING,CHRONOMAT-36,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,5600.0,42.0,36.0,10.0,ACIER,SAPHIR,PLIS,ACIER,1,FRANCE
23877,CARTIER,SANTOS-GALBÉE,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3285.0,42.0,24.0,3.0,ACIER,SAPHIR,PLIS,ACIER,1,ROYAUME-UNI
23879,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,5499.0,48.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23881,CARTIER,TANK,MANUEL,ACIER,,,Bon,FEMME,2490.0,40.0,23.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ACIER,0,ESPAGNE
23882,TUDOR,PRINCE-OYSTERDATE,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,1200.0,38.0,25.0,2.0,,SAPHIR,PLIS,OR,1,FRANCE
23883,HAMILTON,JAZZMASTER-VIEWMATIC,AUTOMATIQUE,OR_ACIER,SATIN,,Bon,FEMME,860.0,43.0,34.0,5.0,ACIER,SAPHIR,BOUCLE_ARDILLON,ACIER,1,FRANCE
23885,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,12199.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23886,ROLEX,OYSTER-PERPETUAL,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,2628.0,42.0,24.0,10.0,ACIER,SAPHIR,PLIS,ACIER,0,ÉTATS-UNIS
23887,CARTIER,SANTOS-DUMONT,MANUEL,OR_JAUNE,CUIR,,Bon,HOMME,7190.0,36.0,23.0,3.0,,SAPHIR,BOUCLE_ARDILLON,OR,0,ITALIE
23888,PATEK-PHILIPPE,NAUTILUS,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,60000.0,55.0,33.0,10.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,FRANCE
23891,ROLEX,OYSTER-PERPETUAL-LADY-DATE,AUTOMATIQUE,OR_JAUNE,CUIR,,Bon,FEMME,3300.0,42.0,26.0,10.0,,SAPHIR,BOUCLE_ARDILLON,OR,1,ITALIE
23892,CARTIER,TANK-FRANÇAISE,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,3250.0,42.0,28.0,2.0,ACIER,SAPHIR,DOUBLE_PLIS,ACIER,1,POLOGNE
23893,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_ACIER,ACIER,,Neuf,FEMME,11778.0,55.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ÉTATS-UNIS
23894,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,16950.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,PAYS-BAS
23899,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,2380.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23900,ROLEX,DATEJUST-31,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,13250.0,42.0,31.0,10.0,,SAPHIR,PLIS,OR,1,ITALIE
23902,ROLEX,LADY-DATEJUST,AUTOMATIQUE,ACIER,ACIER,,Bon,FEMME,3900.0,42.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
23904,CARTIER,TANK,MANUEL,ARGENT,CUIR,,Bon,FEMME,1390.0,40.0,20.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ARGENT,0,ALLEMAGNE
23907,ROLEX,OYSTER-PERPETUAL-26,AUTOMATIQUE,OR_JAUNE,,,Bon,FEMME,4100.0,42.0,26.0,10.0,,SAPHIR,BOUCLE_ARDILLON,OR,0,ITALIE
23908,CARTIER,TANK,MANUEL,ARGENT,CUIR,,Satisfaisant,FEMME,2144.0,40.0,23.0,,ARGENT,MINÉRAL,BOUCLE_ARDILLON,ARGENT,0,ROYAUME-UNI
23912,ROLEX,LADY-DATEJUST,AUTOMATIQUE,OR_ACIER,ACIER,,Bon,FEMME,5399.0,40.0,26.0,10.0,,SAPHIR,PLIS,OR,1,ALLEMAGNE
